Model,Accuracy,Macro Precision,Macro Recall,Macro F1-score
efficientnet,0.9680094786729858,0.9666904919672498,0.9646651199260373,0.9655762371521802
mobilenet,0.9597156398104265,0.9596727697689237,0.9485949870389767,0.9531238045458283
